datetime,Tmax_0_6,Tmax_6_12,Tmax_12_18,Tmax_18_24,Tmin_0_6,Tmin_6_12,Tmin_12_18,Tmin_18_24,Tmax_24h_C,Tmin_24h_C,Tmean_24h_C
2019-06-13,21.29600000000005,20.915999999999997,26.013000000000034,25.874000000000024,20.116000000000042,20.150000000000034,20.950000000000045,20.956000000000017,26.013000000000034,20.116000000000042,2.9484999999999957
2019-06-14,21.908000000000015,21.94500000000005,25.450000000000045,25.75,21.29200000000003,20.971000000000004,21.519000000000005,22.119000000000028,25.75,20.971000000000004,2.389499999999998
2019-06-15,21.650000000000034,21.098000000000013,26.55000000000001,26.55000000000001,20.501000000000033,20.201000000000022,21.298000000000002,21.650000000000034,26.55000000000001,20.201000000000022,3.1744999999999948
2019-06-16,21.831000000000017,19.93100000000004,24.845000000000027,24.76800000000003,19.75,18.242999999999995,20.18100000000004,20.450000000000045,24.845000000000027,18.242999999999995,3.301000000000016
2019-06-17,21.369000000000028,20.869000000000028,25.769000000000005,25.650000000000034,20.031000000000006,19.696000000000026,20.96900000000005,21.098000000000013,25.769000000000005,19.696000000000026,3.0364999999999895
2019-06-18,21.350000000000023,19.16700000000003,21.650000000000034,16.05000000000001,18.811000000000035,17.75,15.936000000000035,12.883000000000038,21.650000000000034,12.883000000000038,4.383499999999998
2019-06-19,13.25,11.532000000000039,16.75,16.650000000000034,11.156000000000006,7.996000000000038,10.131000000000029,10.350000000000023,16.75,7.996000000000038,4.376999999999981
2019-06-20,10.588999999999999,9.75,16.75,16.850000000000023,8.38900000000001,7.050000000000011,9.896000000000015,10.950000000000045,16.850000000000023,7.050000000000011,4.900000000000006
2019-06-21,11.148000000000025,11.350000000000023,22.198000000000036,22.233000000000004,9.675000000000011,8.998000000000047,11.650000000000034,17.390000000000043,22.233000000000004,8.998000000000047,6.617499999999978
2019-06-22,18.650000000000034,18.540999999999997,25.112000000000023,25.024,17.751000000000033,17.093000000000018,18.769000000000005,19.573000000000036,25.112000000000023,17.093000000000018,4.009500000000003
2019-06-23,20.123000000000047,18.05000000000001,24.56400000000002,24.476,17.698000000000036,16.40900000000005,18.25,18.980999999999995,24.56400000000002,16.40900000000005,4.077499999999986
2019-06-24,19.28400000000005,17.411,23.67100000000005,23.650000000000034,17.43300000000005,15.835000000000036,17.55000000000001,19.26800000000003,23.67100000000005,15.835000000000036,3.9180000000000064
2019-06-25,20.26800000000003,19.950000000000045,19.262,11.765000000000043,18.083000000000027,17.862000000000023,11.762,9.262,20.26800000000003,9.262,5.503000000000014
2019-06-26,7.75,6.064999999999998,12.07000000000005,12.051000000000045,4.4220000000000255,4.050000000000011,6.350000000000023,5.9500000000000455,12.07000000000005,4.050000000000011,4.010000000000019
2019-06-27,6.25,5.91700000000003,17.762,17.80200000000002,4.32000000000005,3.3559999999999945,6.2620000000000005,13.39100000000002,17.80200000000002,3.3559999999999945,7.223000000000013
2019-06-28,15.725999999999999,18.483000000000004,23.218000000000018,23.450000000000045,13.65500000000003,15.596000000000004,18.450000000000045,19.950000000000045,23.450000000000045,13.65500000000003,4.897500000000008
2019-06-29,21.071000000000026,19.42700000000002,25.617999999999995,25.05000000000001,18.890000000000043,18.173000000000002,19.684000000000026,20.937000000000012,25.617999999999995,18.173000000000002,3.7224999999999966
2019-06-30,21.463000000000022,17.350000000000023,17.036,15.450000000000045,17.370000000000005,14.850000000000023,14.950000000000045,13.330000000000041,21.463000000000022,13.330000000000041,4.066499999999991
2019-07-01,12.75,10.850000000000023,13.550000000000011,13.536000000000001,10.78000000000003,9.25,9.450000000000045,8.450000000000045,13.550000000000011,8.450000000000045,2.549999999999983
2019-07-02,8.25,8.450000000000045,15.322000000000003,14.329000000000008,6.515000000000043,6.150000000000034,8.75,11.75,15.322000000000003,6.150000000000034,4.585999999999984
2019-07-03,12.75,7.9500000000000455,11.850000000000023,11.75,8.013000000000034,5.5680000000000405,7.539000000000044,5.869000000000028,12.75,5.5680000000000405,3.5909999999999798
2019-07-04,5.789000000000044,5.219000000000051,12.050000000000011,11.77800000000002,3.965000000000032,2.994000000000028,5.4290000000000305,6.592000000000041,12.050000000000011,2.994000000000028,4.527999999999992
2019-07-05,6.001000000000033,3.25,9.150000000000034,9.108000000000004,3.2420000000000186,0.8500000000000227,3.3530000000000086,2.855000000000018,9.150000000000034,0.8500000000000227,4.150000000000006
