SimulationName,Clock_today,sowing_date,cycle_id,umidade_solo_mm,umidade_solo_passada_1d_mm,umidade_solo_passada_2d_mm,umidade_solo_passada_3d_mm,precipitacao_observada_mm,irrigacao_aplicada_mm,irrigacao_aplicada_dia_posterior_mm,chuva_irrigacao_passada_1d_mm,chuva_irrigacao_passada_2d_mm,chuva_irrigacao_passada_3d_mm,etreal_mm_dia,previsao_chuva_24h_mm,previsao_temperatura_maxima_C,previsao_temperatura_minima_C,previsao_radiacao_solar_MJ_m2_dia,previsao_eto_mm_dia,temperatura_media_C,temperatura_maxima_C,temperatura_minima_C,umidade_relativa_pct,velocidade_vento_m_s,radiacao_solar_MJ_m2_dia,dr_mm,profundidade_radicular_mm,gdd_acumulado_C_dia,etr_acumulado_mm,doy_sin,doy_cos,month_sin,month_cos,escoamento_superficial_mm,drenagem_mm,taw_mm,dias_desde_semeadura,deficit_agua_proximo_dia_mm
Alegrete,2019-08-23,2019-08-10,0,61.83238756,57.0589662,52.490372906666664,49.8940944,0.01,0.0,0.0,0.0,0.0,0.0,0.8270000000000001,0.0,17.596000000000004,6.9500000000000455,18.8352,2.7059217034832326,11.3,18.46,6.69,83.0,2.24,17.73,16.963992440000002,229.107,81.9,23.023,-0.7856498550787144,-0.6186714032625032,-0.8660254037844385,-0.5000000000000004,0.0,0.621,31.458551999999997,13,17.76950424
Alegrete,2019-08-24,2019-08-10,0,67.40187576,61.83238756,57.0589662,52.490372906666664,0.01,0.0,0.0,0.0,0.0,0.0,0.79,0.0,17.55000000000001,7.564000000000021,16.2,2.201474513961826,12.04,20.2,6.28,81.8,3.05,18.38,17.76950424,247.857,88.0,23.813,-0.7961828637826154,-0.6050560696488494,-0.8660254037844385,-0.5000000000000004,0.0,0.589,34.008551999999995,14,18.602666033333332
Alegrete,2019-08-25,2019-08-10,0,75.06871396666668,67.40187576,61.83238756,57.0589662,0.03,0.0,0.0,0.0,0.0,0.0,0.763,0.3125,23.650000000000038,9.75,15.6816,2.682589755844478,15.23,24.48,9.23,81.98,2.83,13.99,18.602666033333332,272.857,96.85000000000001,24.576,-0.8064799463209447,-0.5912614448635782,-0.8660254037844385,-0.5000000000000004,0.0,0.544,37.408552,15,11.429313573333333
Alegrete,2019-08-26,2019-08-10,0,90.74206642666668,75.06871396666668,67.40187576,61.83238756,8.85,0.0,0.0,0.0,0.0,0.0,1.517,3.1875,21.355999999999995,13.850000000000025,9.4824,2.055486361625981,15.73,20.44,13.14,90.19,2.47,7.13,11.429313573333333,297.857,105.60000000000001,26.093,-0.8165380514459157,-0.5772916165517278,-0.8660254037844385,-0.5000000000000004,0.0,0.492,40.808552000000006,16,14.95325716
Alegrete,2019-08-27,2019-08-10,0,95.62669484000001,90.74206642666668,75.06871396666668,67.40187576,0.45,0.0,0.0,8.8,0.0,0.0,4.016,0.0,23.77100000000001,13.108000000000004,18.792,2.8975201473511922,16.05,23.97,10.29,86.72,2.01,18.45,14.95325716,322.857,114.75,30.109,-0.8263541987239094,-0.5631507242749187,-0.8660254037844385,-0.5000000000000004,0.0,0.438,44.185694999999996,17,15.873490486666666
Alegrete,2019-08-28,2019-08-10,0,103.10646151333334,95.62669484000001,90.74206642666668,75.06871396666668,0.07,0.0,0.0,0.5,8.8,0.0,1.026,0.0,26.650000000000038,13.650000000000034,19.4616,3.671602852553203,18.79,28.13,11.87,83.46,2.19,19.69,15.873490486666666,347.857,126.75,31.135,-0.8359254794186365,-0.5488429582847199,-0.8660254037844385,-0.5000000000000004,0.0,0.384,47.560694999999996,18,16.739571433333335
Alegrete,2019-08-29,2019-08-10,0,110.64038056666668,103.10646151333334,95.62669484000001,90.74206642666668,0.0,0.0,0.0,0.1,0.5,8.8,0.87,0.0,28.150000000000038,16.150000000000034,19.1808,3.7184453302148395,20.77,28.85,14.69,85.52,2.66,18.74,16.739571433333335,372.857,140.55,32.005,-0.8452490573530634,-0.5343725582809785,-0.8660254037844385,-0.5000000000000004,0.0,0.332,50.935694999999996,19,17.06297857
Alegrete,2019-08-30,2019-08-10,0,118.71697343,110.64038056666668,103.10646151333334,95.62669484000001,2.17,0.0,0.0,0.0,0.1,0.5,2.529,4.8125,25.05000000000001,16.891999999999996,8.0136,2.8337737460910755,20.31,29.75,14.28,88.12,3.18,10.36,17.06297857,397.857,154.6,34.534,-0.8543221697498269,-0.5197438121555157,-0.8660254037844385,-0.5000000000000004,0.0,0.284,54.310694999999996,20,9.068866663333335
Alegrete,2019-08-31,2019-08-10,0,135.1110853366667,118.71697343,110.64038056666668,103.10646151333334,10.98,0.0,0.0,2.2,0.0,0.1,3.01,3.75,18.375,12.16700000000003,20.1096,3.7226782438709582,14.06,19.9,10.68,79.49,3.49,14.5,9.068866663333335,422.857,161.9,37.544,-0.8631421280499115,-0.5049610547215202,-0.8660254037844385,-0.5000000000000004,0.0,0.241,57.685694999999996,21,12.32031666
Alegrete,2019-09-01,2019-08-10,0,136.05963534,135.1110853366667,118.71697343,110.64038056666668,0.02,0.0,0.0,11.0,2.2,0.0,3.2529999999999997,0.0,17.46700000000004,7.467000000000041,20.628,3.0011945555765234,11.36,18.23,4.76,74.49,2.14,21.0,12.32031666,435.357,167.0,40.797,-0.8717063187093217,-0.4900286664290594,-1.0,-1.8369701987210297e-16,0.0,0.202,59.373194999999996,22,13.439900000000002
Alegrete,2019-09-02,2019-08-10,0,139.4401,136.05963534,135.1110853366667,118.71697343,0.0,0.0,0.0,0.0,11.0,2.2,1.125,0.0,17.871000000000038,6.456000000000017,20.52,2.8165488106327805,11.99,19.6,3.88,67.1,1.23,20.03,13.439900000000002,448.75,172.8,41.922,-0.8800122039735356,-0.4749510720670502,-1.0,-1.8369701987210297e-16,0.0,0.169,61.18124999999999,23,14.46762852
Alegrete,2019-09-03,2019-08-10,0,143.39222748,139.4401,136.05963534,135.1110853366667,0.0,0.0,0.0,0.0,0.0,11.0,1.031,0.0,14.68300000000005,7.219000000000051,17.712,3.081996567238591,11.18,17.83,6.48,76.79,2.33,20.38,14.46762852,463.571,177.7,42.952999999999996,-0.888057322629493,-0.4597327394521046,-1.0,-1.8369701987210297e-16,0.0,0.139,63.182085,24,15.42512624
Alegrete,2019-09-04,2019-08-10,0,143.93496976,143.39222748,139.4401,136.05963534,0.0,0.0,0.0,0.0,0.0,0.0,0.9650000000000001,0.0,13.946000000000026,3.626000000000033,21.4704,3.1331481869389424,8.74,16.25,2.32,70.44,2.57,21.52,15.42512624,468.036,181.8,43.918,-0.8958392907349089,-0.4443781781046134,-1.0,-1.8369701987210297e-16,0.0,0.114,63.784859999999995,25,16.317684616666668
Alegrete,2019-09-05,2019-08-10,0,145.02245938333334,143.93496976,143.39222748,139.4401,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.0,14.450000000000044,4.049000000000035,21.0816,2.5117488013149396,8.82,16.25,3.08,75.71,3.82,18.1,16.317684616666668,473.929,185.9,44.813,-0.9033558023246842,-0.4288919379124841,-1.0,-1.8369701987210297e-16,0.0,0.093,64.58041499999999,26,17.172037023333335
Alegrete,2019-09-06,2019-08-10,0,152.56810697666666,145.02245938333334,143.93496976,143.39222748,0.16,0.0,0.0,0.0,0.0,0.0,1.055,4.5625,17.850000000000023,7.907000000000039,6.156000000000001,0.6763787876307306,13.65,23.29,7.88,86.03,3.08,9.96,17.172037023333335,498.929,193.55,45.868,-0.9106046300942162,-0.41327860778290443,-1.0,-1.8369701987210297e-16,0.0,0.075,67.95541499999999,27,17.99536087
