model,selected_by_validation,validation_mae_variation,mae_variation,rmse_variation,r2_variation,bias_variation,mae_next_deficit,rmse_next_deficit,r2_next_deficit,bias_next_deficit
catboost,False,3.455111138199018,3.447763642406113,6.33349350534162,0.4492013049852571,1.7567371781809422,3.447763642406113,6.33349350534162,0.9883467048854142,1.7567371781809422
xgboost,False,3.763919500047233,3.5201932766232704,5.834202014918527,0.5326210276022576,0.4343285454484874,3.5201932766232695,5.834202014918527,0.9901116230938838,0.43432854544848754
lightgbm,True,3.434090477655831,3.737069385925691,6.748697845589173,0.37461679764166333,1.7355322637498127,3.737069385925691,6.748697845589173,0.9867687140823903,1.7355322637498127
persistence,False,,6.497004376506623,8.554337971589614,-0.004798673316857904,-0.5911633081567328,6.497004376506623,8.554337971589614,0.9787413885020331,-0.5911633081567327
