datetime,Tmax_0_6,Tmax_6_12,Tmax_12_18,Tmax_18_24,Tmin_0_6,Tmin_6_12,Tmin_12_18,Tmin_18_24,Tmax_24h_C,Tmin_24h_C,Tmean_24h_C
2019-06-13 06:00:00,21.29600000000005,,,,20.116000000000042,,,,21.29600000000005,20.116000000000042,20.706000000000046
2019-06-13 12:00:00,21.150000000000034,20.915999999999997,,,20.15500000000003,20.150000000000034,,,21.150000000000034,20.150000000000034,20.650000000000034
2019-06-13 18:00:00,26.369000000000028,26.36500000000001,26.013000000000034,,20.571000000000026,20.854000000000042,20.950000000000045,,26.369000000000028,20.571000000000026,23.470000000000027
2019-06-14 00:00:00,26.38900000000001,26.355999999999995,26.162000000000035,25.874000000000024,21.950000000000045,21.008000000000038,21.34400000000005,20.956000000000017,26.38900000000001,20.956000000000017,23.672500000000014
2019-06-14 06:00:00,21.908000000000015,21.950000000000045,21.05000000000001,21.269000000000005,21.29200000000003,21.198000000000036,20.089,19.772000000000048,21.950000000000045,19.772000000000048,20.861000000000047
2019-06-14 12:00:00,22.089,21.94500000000005,21.992999999999995,20.650000000000034,21.25,20.971000000000004,21.147000000000048,19.75,22.089,19.75,20.9195
2019-06-14 18:00:00,25.625,25.450000000000045,25.450000000000045,24.650000000000034,22.150000000000034,22.011000000000024,21.519000000000005,22.028999999999996,25.625,21.519000000000005,23.572000000000003
2019-06-15 00:00:00,25.350000000000023,25.72800000000001,23.850000000000023,25.75,21.489000000000033,21.55000000000001,21.911,22.119000000000028,25.75,21.489000000000033,23.619500000000016
2019-06-15 06:00:00,21.650000000000034,21.55000000000001,21.52600000000001,21.821000000000026,20.501000000000033,20.52800000000002,20.525000000000034,20.25,21.821000000000026,20.25,21.035500000000013
2019-06-15 12:00:00,21.289000000000044,21.098000000000013,20.80200000000002,20.745000000000005,20.150000000000034,20.201000000000022,19.745000000000005,19.698000000000036,21.289000000000044,19.698000000000036,20.49350000000004
